procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12930812 572268 921436    0    0     0 19856 42277 73168  9 11 71  9  0  0 2026-09-08 15:07:04
 1  1      0 12928584 573496 922844    0    0    32 18112 41812 72151  8 11 71  9  0  0 2026-09-08 15:07:05
 2  1      0 12926408 574760 924220    0    0     0 18304 41069 70751  9 10 72  9  0  0 2026-09-08 15:07:06
 3  1      0 12919916 575920 927556    0    0     0 20700 41763 71995  8 11 72  9  0  0 2026-09-08 15:07:07
 0  1      0 12915276 577276 928960    0    0     0 19268 42356 73377  9 11 71  9  0  0 2026-09-08 15:07:08
 6  0      0 12913044 578440 930116    0    0     0 18812 41597 71841 10 12 69  9  0  0 2026-09-08 15:07:09
 7  1      0 12909900 579580 932392    0    0     0 19664 42890 74085 11 12 68  9  0  0 2026-09-08 15:07:10
 1  1      0 12906108 580664 934868    0    0     0 19816 41889 72086 10 13 68  9  0  0 2026-09-08 15:07:11
 8  0      0 12903828 581744 936176    0    0     0 18712 41592 71673  8 11 71  9  0  0 2026-09-08 15:07:12
 0  1      0 12900188 583136 938552    0    0     0 20448 42320 73281  9 11 71  9  0  0 2026-09-08 15:07:13
 5  2      0 12896188 584556 939772    0    0     0 19052 41828 72308 10 10 71  9  0  0 2026-09-08 15:07:14
 4  2      0 12894164 586044 941008    0    0     0 19300 41062 70914  9 10 71  9  0  0 2026-09-08 15:07:15
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 12891156 587544 943464    0    0     0 20312 41439 71505  8 11 72  9  0  0 2026-09-08 15:07:16
 4  1      0 12886244 589028 945844    0    0     0 20020 41530 71676  9 11 71 10  0  0 2026-09-08 15:07:17
 2  1      0 12879204 590472 951444    0    0     0 23144 42144 72655  9 12 70  9  0  0 2026-09-08 15:07:18
 3  1      0 12876432 591892 952656    0    0     0 18976 41155 71008  9 10 72  9  0  0 2026-09-08 15:07:19
 5  1      0 12872664 593316 954068    0    0     0 19288 42206 72902 10 12 69  9  0  0 2026-09-08 15:07:20
 0  2      0 12868660 594648 956372    0    0     0 20040 41956 72406 10 11 69  9  0  0 2026-09-08 15:07:21
 1  2      0 12867068 596052 957740    0    0     0 19104 41656 71862 10 11 70  9  0  0 2026-09-08 15:07:22
 1  1      0 12861552 597552 960088    0    0     0 19668 38770 67068 11 11 70  9  0  0 2026-09-08 15:07:23
 0  1      0 12858796 598992 961392    0    0     0 19336 42514 73755  9 11 70  9  0  0 2026-09-08 15:07:24
 2  1      0 12855004 600516 963616    0    0     0 20176 41358 71067 11 11 69  9  0  0 2026-09-08 15:07:25
 0  1      0 12851240 601988 965100    0    0     0 19020 41731 71907 10 11 69  9  0  0 2026-09-08 15:07:26
 4  1      0 12846976 603456 967376    0    0     0 20188 42154 72330 11 11 69  9  0  0 2026-09-08 15:07:27
 1  2      0 12844456 604796 968568    0    0     0 18256 41163 70855 12 12 67  9  0  0 2026-09-08 15:07:28
 1  2      0 12837628 606152 974224    0    0     0 23580 42457 73207  9 11 70  9  0  0 2026-09-08 15:07:29
 6  1      0 12834876 607300 975484    0    0     0 18952 42316 72820 11 11 68  9  0  0 2026-09-08 15:07:30
 6  1      0 12831976 608688 976736    0    0     0 18872 41517 71440 11 12 68  9  0  0 2026-09-08 15:07:31
 3  1      0 12824380 610172 981996    0    0     0 23072 42233 72483 12 12 67  9  0  0 2026-09-08 15:07:32
 5  1      0 12821620 611756 983560    0    0     0 19396 44670 77196 12 13 66  9  0  0 2026-09-08 15:07:33
 1  2      0 12816308 613228 987036    0    0     0 21480 43116 74505 11 12 68  9  0  0 2026-09-08 15:07:34
 2  1      0 12813548 614712 988092    0    0     0 19392 41604 71680 11 11 69  9  0  0 2026-09-08 15:07:35
 2  1      0 12809792 616168 989532    0    0     0 19192 42725 73984 12 12 67  9  0  0 2026-09-08 15:07:36
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 12807516 617772 990856    0    0     0 18940 42399 73483 11 12 68  9  0  0 2026-09-08 15:07:37
 5  1      0 12804504 619356 992236    0    0     0 19356 41744 71990 12 11 68  9  0  0 2026-09-08 15:07:38
 6  1      0 12801004 620876 993480    0    0     0 19988 42735 73914 13 12 66  9  0  0 2026-09-08 15:07:39
 3  2      0 12797484 622428 994716    0    0     0 20180 43363 75063 12 12 67 10  0  0 2026-09-08 15:07:40
 5  1      0 12789604 623892 1001252    0    0     0 24544 42912 74004 13 12 65  9  0  0 2026-09-08 15:07:41
 3  0      0 12786396 625156 1002420    0    0     0 18216 41508 71667 16 13 62  9  0  0 2026-09-08 15:07:42
 3  1      0 12782956 626668 1003660    0    0     0 19504 44074 76198 12 12 68  9  0  0 2026-09-08 15:07:43
 1  1      0 12772380 628220 1011900    0    0  6960 19336 41140 70663 13 11 67  9  0  0 2026-09-08 15:07:44
 7  1      0 12768972 629540 1013024    0    0     0 18164 40478 69838 13 12 66  9  0  0 2026-09-08 15:07:45
 6  1      0 12766348 630804 1014164    0    0    16 17236 40458 70453 17 14 60  9  0  0 2026-09-08 15:07:46
 1  1      0 12760904 632372 1016392    0    0     0 20144 42990 74271 15 11 65  9  0  0 2026-09-08 15:07:47
 3  1      0 12757968 633800 1017624    0    0     0 18972 41196 70935 12 12 67  9  0  0 2026-09-08 15:07:48
 5  0      0 12755100 635284 1018760    0    0     0 19596 44146 76754 13 11 67  9  0  0 2026-09-08 15:07:49
 1  1      0 12752872 636592 1020152    0    0     4 18984 42086 72797 13 11 67  9  0  0 2026-09-08 15:07:50
 6  0      0 12750096 638020 1022532    0    0     0 21080 43858 75777 12 12 67  9  0  0 2026-09-08 15:07:51
 5  1      0 12742676 639772 1027860    0    0     0 24136 43173 75001 11 11 68 10  0  0 2026-09-08 15:07:52
 3  2      0 12740360 641204 1029344    0    0     0 19620 41448 71515 11 11 69  9  0  0 2026-09-08 15:07:53
